sepal_length,sepal_width,petal_length,petal_width,Output,probability
5.5,2.5,4.0,1.3,versicolor,0.9670680800423473
6.9,3.1,5.1,2.3,virginica,0.9632371086953345
5.1,2.5,3.0,1.1,versicolor,0.9507520989081053
4.4,2.9,,0.2,setosa,0.6335405261776137
5.9,3.0,5.1,1.8,virginica,0.7454751334310908
5.5,3.5,1.3,0.2,setosa,0.9583470609676126
5.6,,3.6,1.3,versicolor,0.9386201935343864
6.5,3.0,5.2,2.0,virginica,0.9424058001487063
5.3,3.7,1.5,0.2,setosa,0.9636142435919449
5.1,3.4,1.5,,setosa,0.8112100619333703
6.1,2.8,4.0,1.3,versicolor,0.9784369926296167
5.5,2.4,3.7,1.0,versicolor,0.9786693391145007
7.7,3.0,6.1,2.3,virginica,0.9584358201456464
6.9,3.1,4.9,1.5,versicolor,0.7604845318163468
6.0,2.2,5.0,1.5,versicolor,0.6102450670310096
